,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,has_added_app,were_here_count,likes,talking_about_count,stock_symbol
1298,standex international,2018-07-17,2907,1025,Business Supplies and Equipment,0,f,0,824,349,SXI
1299,stanley healthcare,2017-11-07,4109,383,Hospital & Health Care,93,f,0,3605,122,
1300,starbucks,2018-07-17,1039226,120011,Retail,0,f,36826374,37253073,1470906,
1301,starrett,2018-07-17,4394,366,Mechanical or Industrial Engineering,0,f,0,160902,511,
1302,stayz,2018-02-17,1228,31,"Leisure, Travel & Tourism",0,f,0,258015,7518,
1303,steelcase,2018-07-17,75294,7079,Furniture,0,f,0,79280,5038,SCS
1304,stein mart,2018-07-17,12395,2792,Retail,0,f,44936,555368,17245,SMRT
1305,stepan company,2018-07-17,22366,1423,Chemicals,430,f,2052,20691,3284,SCL
1306,steve madden,2018-07-17,21405,1932,Retail,0,f,6332,1211043,11158,SHOO
1307,stewart title,2016-08-25,13296,4407,Insurance,2169,f,2166,4384,368,
1308,stifel financial corp.,2018-07-17,20982,4991,Financial Services,565,f,0,1475,393,SIEB
1309,stitch fix,2018-07-17,37676,3360,Apparel & Fashion,910,f,910,1488634,85496,SFIX
1310,stmicroelectronics,2018-07-17,156976,20654,Semiconductors,693,f,635,28289,1875,STM
1311,store capital,2018-07-17,895,171,Financial Services,10,f,10,8939,982,
1312,stratasys,2018-02-17,34144,1363,Mechanical or Industrial Engineering,31,f,0,87892,4483,
1313,strayer university,2018-07-17,105662,1873,Higher Education,1911,f,18031,355192,16583,
1314,streamline health,2018-07-17,1955,177,Computer Software,8,f,8,89,12,
1315,suburban propane,2018-07-17,4769,1363,Oil &amp; Energy,489,f,639,2442,413,
1316,"summer infant, inc.",2018-07-17,3262,189,Consumer Goods,12,f,0,443192,76055,SUMR
1317,suncor energy,2018-07-17,206995,14406,Oil &amp; Energy,393,f,0,36171,10045,SU
1318,sunoco,2017-05-10,14414,4138,Retail,0,f,0,424878,3602,SUN
1319,sunpower corporation,2018-07-17,76184,3969,Renewables & Environment,1457,f,1457,3400,1124,SPWR
1320,sunrun,2018-07-17,27340,2578,Renewables & Environment,124,f,428,32090,2674,
1321,suntrust,2018-07-17,89495,21313,Financial Services,0,f,0,99920,26078,
1322,supercuts,2018-07-17,3529,3191,Retail,0,f,220613,69863,4382,
1323,support.com,2018-07-17,7845,1033,Computer Software,124,f,0,4975,92,SPRT
1324,sussex bank,2018-04-23,401,101,Banking,4,f,0,743,106,
1325,switch,2018-07-17,6886,393,Information Technology and Services,0,f,0,1282825,260987,
1326,swm international,2018-02-17,4269,724,Paper & Forest Products,75,f,0,1847,177,EIX
1327,symantec,2018-07-17,315724,24260,Computer Software,0,f,0,91010,3860,
