,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,were_here_count,likes,talking_about_count,stock_symbol
1443,"trinity industries, inc.",2018-07-17,31494,3134,Transportation/Trucking/Railroad,279,279,17891,3488,0
1444,tripadvisor,2018-07-17,196175,4989,Internet,618,0,6033039,374965,0
1445,trovagene,2018-07-17,1998,72,Biotechnology,24,0,1224,13,1
1446,trubridge,2018-07-17,1053,284,Information Technology and Services,0,0,7992,235,1
1447,trueblue inc.,2018-07-17,15594,10732,Staffing and Recruiting,871,0,1679,186,0
1448,trulia,2018-02-17,21801,483,Internet,0,0,407479,63249,1
1449,trustmark bank,2018-07-17,6220,1672,Banking,160,1653,4411,1297,1
1450,tsys,2018-07-17,34630,7878,Financial Services,2407,2407,4333,581,1
1451,ttm technologies,2018-07-17,9139,3014,Electrical/Electronic Manufacturing,0,0,47,5,0
1452,tuesday morning,2018-07-17,17530,2777,Retail,0,38287,265505,12139,0
1453,tupperware brands,2018-07-17,66231,10110,Consumer Goods,0,0,776771,13478,1
1454,turkcell,2018-07-17,194369,9486,Telecommunications,0,3881,3225485,406142,1
1455,turtle beach,2018-07-17,7325,175,Consumer Electronics,310,62,659049,7439,1
1456,twin disc,2018-07-17,2679,386,Machinery,12,12,329,164,1
1457,twitter,2018-07-17,579499,5057,Internet,1,0,16137106,85061,1
1458,two river community bank,2018-07-17,307,121,Banking,0,0,494,169,1
1459,tyler technologies,2018-07-17,17794,3917,Computer Software,15,15,59,5,0
1460,tyson foods,2018-07-17,94334,17911,Food Production,103022,0,287072,41865,0
1461,u.s. bank,2018-07-17,180917,57600,Banking,0,1826,299359,31510,0
1462,u.s. cellular,2018-07-17,28221,9640,Wireless,5858,28395,546538,43747,1
1463,"u.s. physical therapy, inc.",2018-07-17,4048,280,"Health, Wellness and Fitness",209,209,2340,50,0
1464,uds enterprise,2018-03-23,42,0,Computer Software,208,208,791,65,1
1465,"ufp technologies, inc.",2018-07-17,1694,256,Plastics,166,0,315,43,0
1466,ulta beauty,2018-07-17,120508,15917,Retail,0,261648,3050701,142690,0
1467,ultralife corporation,2018-07-17,1700,158,Electrical/Electronic Manufacturing,7,7,497,54,0
1468,ultrapar,2018-02-17,44520,1035,Oil & Energy,499,499,1749,334,1
1469,umb bank,2018-07-17,13256,3509,Financial Services,181,4813,7669,1985,1
1470,umpqua bank,2018-07-17,14227,3406,Banking,457,457,50355,4399,1
1471,under armour,2018-07-17,388908,8859,Sporting Goods,1195,77040,9958978,161914,0
1472,unified payments,2018-07-17,990,319,Financial Services,95,95,18801,10313,1
1473,unilever,2018-07-17,3335998,111102,Consumer Goods,0,0,3774628,518903,0
1474,unit corporation,2018-07-17,8952,650,Oil & Energy,107,0,534,103,0
1475,united bank,2018-07-17,3125,908,Banking,43,0,673,101,1
1476,united community bank,2018-07-17,3746,1462,Banking,59,59,1162,1216,0
1477,united fire group,2017-07-28,2969,798,Insurance,232,232,1637,397,0
1478,united therapeutics,2017-06-27,7060,710,Pharmaceuticals,7,0,4361,69,0
1479,unitedhealth group,2018-07-17,498375,106277,Hospital &amp; Health Care,4,0,1219,14,1
1480,unitedhealthcare,2018-03-23,12794,0,Hospital & Health Care,713,0,180991,22069,1
1481,unitil,2018-07-17,1516,318,Utilities,49,29,4221,2933,1
1482,univar,2018-07-17,81961,5940,Chemicals,193,188,2638,415,1
1483,univest,2018-07-17,3208,757,Financial Services,37,37,1873,7,1
1484,unyson,2018-07-17,4719,300,Logistics and Supply Chain,99,0,228,53,1
1485,upc insurance,2018-07-17,1653,172,Insurance,495,0,2133,406,1
1486,ups,2018-07-17,573679,154090,Transportation/Trucking/Railroad,2142,9775,1820464,228745,1
1487,urban outfitters europe,2018-02-17,28269,241,Retail,0,169152,2232073,28369,0
1488,us foods,2018-07-17,111409,14414,Food & Beverages,516,516,83456,6948,1
1489,usa technologies inc.,2018-07-17,5610,1897,Information Technology and Services,34,34,1253,130,0
1490,usa today,2018-02-17,269142,3205,Newspapers,3463,0,15233696,3635912,1
1491,usana health sciences,2018-07-17,27702,9517,"Health, Wellness and Fitness",12487,12487,271316,30940,0
1492,"valmont industries, inc.",2018-07-17,17571,2388,Mechanical or Industrial Engineering,0,0,2484,192,0
1493,value line,2018-07-17,1964,212,Financial Services,23,23,2909,30,0
1494,vanda pharmaceuticals,2018-07-17,9356,249,Pharmaceuticals,1,1,3874,1537,0
1495,varian medical systems,2018-07-17,97265,6762,Medical Devices,338,338,1722,404,0
1496,vbi vaccines inc.,2018-07-17,1037,35,Biotechnology,0,0,331,360,0
1497,vectrus,2018-07-17,16065,2535,Defense & Space,45,27,4371,1264,1
1498,veeva systems,2018-07-17,25589,2341,Computer Software,417,417,2017,225,0
1499,venmo,2018-02-17,10326,227,Financial Services,0,0,37335,1138,1
1500,vera bradley,2018-07-17,23440,1611,Apparel &amp; Fashion,1,25749,1854880,29793,0
1501,verastem,2018-05-03,3933,79,Biotechnology,0,0,1195,76,1
1502,verint,2018-02-17,55636,3147,Information Technology and Services,73,73,3975,155,1
1503,verisign,2018-07-17,25668,1654,Information Technology and Services,0,0,318611,83519,1
1504,verisk analytics,2017-11-29,34134,1407,Information Services,93,0,648,262,0
1505,veritiv corporation,2018-07-17,16402,3895,Business Supplies and Equipment,8562,0,15826,1698,0
1506,verizon,2018-07-17,619936,75800,Information Technology and Services,122,73,24989,12401,1
1507,verso paper corp.,2018-07-17,4915,683,Paper & Forest Products,32,0,480,11,1
1508,vertis communications,2018-02-17,4453,779,Marketing and Advertising,2283,2283,2047,907,0
1509,vf corporation,2018-07-17,171268,21330,Apparel &amp; Fashion,207,207,431,205,0
1510,viacom,2018-07-17,267270,26776,Entertainment,0,0,278394,104594,1
1511,viavi solutions,2018-07-17,29481,3781,Telecommunications,62,62,2369,5937,0
1512,vical,2018-07-17,1827,260,Biotechnology,0,0,321,135,1
1513,vicor corporation,2018-07-17,6023,712,Electrical/Electronic Manufacturing,94,94,7682,310,0
1514,virco,2018-07-17,1161,281,Business Supplies and Equipment,169,146,633,190,1
1515,virtus investment partners,2018-07-17,2228,247,Investment Management,0,0,507,3,0
1516,virtusa,2018-07-17,84434,8600,Information Technology and Services,346,346,34187,1452,1
1517,visa,2018-07-17,459757,12386,Information Technology and Services,1245,0,5702,3642,1
1518,"vishay intertechnology, inc.",2018-07-17,13404,2988,Electrical/Electronic Manufacturing,316,316,3156,255,0
1519,vislink,2018-07-17,1228,120,Broadcast Media,24,24,1665,134,1
1520,vista outdoor inc.,2018-07-17,8578,1064,Consumer Goods,26,26,7002,1392,0
1521,vitas healthcare,2018-07-17,38627,4393,Hospital &amp; Health Care,390,14499,38117,5558,1
1522,vivint solar,2018-07-17,13284,2585,Renewables & Environment,401,1628,19051,1995,0
1523,vmware,2018-07-17,695561,21098,Computer Software,18599,18599,313354,78630,1
1524,vocera communications,2018-07-17,8943,666,Telecommunications,126,126,813,195,0
1525,vonage,2018-07-17,30511,2089,Telecommunications,1713,1713,105631,1775,1
1526,voxeljet ag,2018-07-17,2592,86,Mechanical or Industrial Engineering,46,46,2044,143,0
1527,voxx international corporation,2018-02-17,3740,377,Consumer Electronics,214,214,2367,245,0
1528,voya financial,2018-07-17,44068,4440,Financial Services,0,0,235781,459436,0
1529,vse corporation,2018-07-17,4120,1226,Defense & Space,0,0,2655,564,0
1530,wabtec control systems,2018-07-17,909,107,Transportation/Trucking/Railroad,0,0,4910,3578,1
1531,wabtec corporation,2018-07-17,4710,957,Transportation/Trucking/Railroad,40,40,1416,258,0
1532,waddell & reed,2018-07-17,24841,3040,Financial Services,895,0,6089,1119,1
1533,wageworks,2018-07-17,6097,1006,Human Resources,98,0,2673,293,1
1534,walgreens,2018-07-17,252898,88935,Retail,0,1896553,4527975,123695,1
1535,walker & dunlop,2018-07-17,5126,683,Financial Services,1,1,660,481,0
1536,walmart,2018-07-17,1195359,411073,Retail,14428,19919133,34985969,775540,1
1537,waters corporation,2018-07-17,50154,5633,Research,0,0,56828,1216,0
1538,waterstone bank,2018-07-17,785,979,Banking,0,0,3230,1147,1
1539,wayfair,2018-07-17,69598,7510,Internet,10,0,6321100,567528,1
1540,wd,2017-02-14,57206,8008,Computer Hardware,12820,0,3322334,148644,1
1541,we energies,2018-07-17,10343,4024,Utilities,133,133,10331,6876,1
1542,weatherford,2018-07-17,642045,31086,Oil &amp; Energy,501,459,183039,5442,1
1543,web.com,2018-07-17,22402,4249,Internet,1364,0,168763,9155,1
1544,webdam,2018-03-14,2529,95,Computer Software,0,0,3862,68,1
1545,weibo corporation,2018-07-17,2988,686,Internet,62,62,617,10,0
1546,weight watchers,2018-07-17,27045,7299,"Health, Wellness and Fitness",0,400441,2736280,277038,1
1547,weingarten realty,2018-07-17,3698,364,Real Estate,64,64,670,70,0
1548,weis markets,2018-07-17,10108,3617,Retail,0,34709,144772,40614,0
1549,wellcare health plans,2018-07-17,31761,6325,Insurance,1393,0,11050,854,0
1550,werner enterprises,2018-07-17,18403,4907,Transportation/Trucking/Railroad,9700,0,23835,31460,0
1551,wesbanco,2018-07-17,2544,1141,Banking,5982,0,4322,3299,1
1552,westell,2018-07-17,1850,228,Telecommunications,0,54160,905088,21360,1
1553,western digital,2018-07-17,173189,22635,Information Technology and Services,12807,0,2793591,147101,1
1554,western snow plows,2018-07-17,585,18,Machinery,0,0,62928,2584,1
1555,western union,2018-07-17,101691,12128,Financial Services,0,526,8005807,693240,1
1556,westlake chemical,2018-07-17,17999,3608,Chemicals,242,0,1221,621,1
1557,willamette valley vineyards,2018-07-17,571,99,Wine and Spirits,28466,28466,20977,2335,0
1558,william lyon homes,2018-07-17,4955,496,Construction,76,38,6980,423,1
1559,williams,2018-07-17,68600,5555,Oil &amp; Energy,0,0,21790,1271,1
1560,"williams-sonoma, inc.",2018-07-17,83770,12068,Retail,0,68492,917017,41502,0
1561,willis towers watson,2018-07-17,212872,38161,Financial Services,1470,0,16387,864,1
1562,wily technology,2018-02-17,633,60,Computer Software,0,0,182457,4259,1
1563,windstream,2017-07-10,48173,9814,Telecommunications,0,0,484,24,1
