,index_x,company_name,dataset_id_x,as_of_date,followers_count,employees_on_platform,link,industry,date_added,date_updated_x,level_0,index_y,dataset_id_y,time,checkins,has_added_app,were_here_count,likes,talking_about_count,facebook_id,date_updated_y
1516,4753,virtusa,957881,2018-07-17,84434,8600,https://www.linkedin.com/company/5140,Information Technology and Services,2018-07-17 17:47:00.689107+00,2018-07-17 17:47:00.689158+00,4623,4623,53160,2018-07-16 04:00:00+00,346,f,346,34187,1452,85647828805,2018-07-17 05:28:19.705243+00
1517,4754,visa,58387,2018-07-17,459757,12386,https://www.linkedin.com/company/2190,Information Technology and Services,2018-07-17 20:21:58.066284+00,2018-07-17 20:21:58.066332+00,4604,4604,53161,2018-07-16 04:00:00+00,1245,f,0,5702,3642,223964047252,2018-07-17 05:28:19.894478+00
1518,4755,"vishay intertechnology, inc.",900478,2018-07-17,13404,2988,https://www.linkedin.com/company/7449,Electrical/Electronic Manufacturing,2018-07-17 20:24:54.282978+00,2018-07-17 20:24:54.283011+00,4626,4626,900575,2018-07-16 04:00:00+00,316,f,316,3156,255,206221214655,2018-07-17 05:34:32.657075+00
1519,4757,vislink,957699,2018-07-17,1228,120,https://www.linkedin.com/company/123938,Broadcast Media,2018-07-17 17:53:13.462862+00,2018-07-17 17:53:13.462883+00,2143,2143,956371,2018-07-16 04:00:00+00,24,f,24,1665,134,257252613117,2018-07-17 05:28:29.195776+00
1520,4758,vista outdoor inc.,1332862,2018-07-17,8578,1064,https://www.linkedin.com/company/6381676,Consumer Goods,2018-07-17 20:25:15.54025+00,2018-07-17 20:25:15.540293+00,4630,4630,69434,2018-07-17 04:00:00+00,26,f,26,7002,1392,661539067274665,2018-07-18 05:49:21.941761+00
1521,4762,vitas healthcare,897763,2018-07-17,38627,4393,https://www.linkedin.com/company/166821,Hospital &amp; Health Care,2018-07-17 18:23:53.226474+00,2018-07-17 18:23:53.226497+00,4633,4633,897846,2018-07-17 04:00:00+00,390,f,14499,38117,5558,525629814193201,2018-07-18 05:44:57.340739+00
1522,4765,vivint solar,900480,2018-07-17,13284,2585,https://www.linkedin.com/company/3053224,Renewables & Environment,2018-07-17 20:25:05.104598+00,2018-07-17 20:25:05.104624+00,4635,4635,53647,2018-07-17 04:00:00+00,401,f,1628,19051,1995,208107092557867,2018-07-18 05:49:21.474013+00
1523,4767,vmware,868204,2018-07-17,695561,21098,https://www.linkedin.com/company/2988,Computer Software,2018-07-17 20:23:58.913181+00,2018-07-17 20:23:58.913231+00,4639,4639,53641,2018-07-16 04:00:00+00,18599,f,18599,313354,78630,6975960973,2018-07-17 05:34:31.654983+00
1524,4769,vocera communications,900467,2018-07-17,8943,666,https://www.linkedin.com/company/13993,Telecommunications,2018-07-17 20:22:41.684186+00,2018-07-17 20:22:41.684212+00,4642,4642,53634,2016-12-02 05:00:00+00,126,f,126,813,195,114260044087,2017-02-14 08:03:43.698675+00
1525,4773,vonage,1340327,2018-07-17,30511,2089,https://www.linkedin.com/company/5028,Telecommunications,2018-07-17 20:23:14.404914+00,2018-07-17 20:23:14.404956+00,4645,4645,53636,2018-07-16 04:00:00+00,1713,f,1713,105631,1775,121683362163,2018-07-17 05:34:30.835168+00
